supplierID,companyName,contactName,contactTitle
5,"Cooperativa de Quesos 'Las Cabras'","Antonio del Valle Saavedra","Export Administrator"
1,"Exotic Liquids","Charlotte Cooper","Purchasing Manager"
14,"Formaggi Fortini s.r.l.","Elio Rossi","Sales Representative"
2,"New Orleans Cajun Delights","Shelley Burke","Order Administrator"
3,"Grandma Kelly's Homestead","Regina Murphy","Sales Representative"
6,Mayumi's,"Mayumi Ohno","Marketing Representative"
7,Pavlova," Ltd.","Ian Devling"
20,"Leka Trading","Chandra Leka","Owner"
15,"Norske Meierier","Beate Vileid","Marketing Manager"
10,"Refrescos Americanas LTDA","Carlos Diaz","Marketing Manager"
24,G'day," Mate","Wendy Mackenzie"
17,"Svensk Sjöföda AB","Michael Björn","Sales Representative"
28,"Gai pâturage","Eliane Noz","Sales Representative"
25,"Ma Maison","Jean-Guy Lauzon","Marketing Manager"
12,"Plutzer Lebensmittelgroßmärkte AG","Martin Bein","International Marketing Mgr."
19,"New England Seafood Cannery","Robb Merchant","Wholesale Account Agent"
18,"Aux joyeux ecclésiastiques","Guylène Nodier","Sales Manager"
23,"Karkki Oy","Anne Heikkonen","Product Manager"
8,"Specialty Biscuits"," Ltd.","Peter Wilson"
9,"PB Knäckebröd AB","Lars Peterson","Sales Agent"
26,"Pasta Buttini s.r.l.","Giovanni Giudici","Order Administrator"
11,"Heli Süßwaren GmbH & Co. KG","Petra Winkler","Sales Manager"
13,"Nord-Ost-Fisch Handelsgesellschaft mbH","Sven Petersen","Coordinator Foreign Markets"
4,"Tokyo Traders","Yoshi Nagase","Marketing Manager"
16,"Bigfoot Breweries","Cheryl Saylor","Regional Account Rep."
29,"Forêts d'érables","Chantal Goulet","Accounting Manager"
21,Lyngbysild,"Niels Petersen","Sales Manager"
27,"Escargots Nouveaux","Marie Delamare","Sales Manager"
22,"Zaanse Snoepfabriek","Dirk Luchte","Accounting Manager"
28,"Gai pâturage","Eliane Noz","Sales Representative"
